"id_discente","curso","turno","ano_ingresso","idade_ingresso","escola_publica","forma_ingresso","acao_afirmativa","sexo","cor_raca","estado_civil","media_global_aluno","media_global_curso","percentual_integralizado","trancamentos","mobilidade","total_componentes","total_reprovacao","total_aprovacao","percentagem_frequencia","percentagem_reprovacao","reprovacoes_rm","reprovacoes_rf","reprovacoes_rmf","percentagem_aprovacao","qtd_semestres","motivo_inativacao","status"
799410,"Engenharia De Software","Noturno",2015,18,"Sim","Sisu","RS-PPI","Masculino","Pardo","Solteiro(A)",6.98,5.48,100,0,0,49,7,42,87.86,14.29,7,0,0,85.71,8,"Conclusão","Graduado"
799440,"Engenharia De Software","Noturno",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Pardo","Solteiro(A)",7.12,5.48,100,0,0,49,7,42,85.49,14.29,7,0,0,85.71,8,"Conclusão","Graduado"
799451,"Engenharia De Software","Noturno",2015,19,"Não","Sisu","Ampla Concorrência","Feminino","Branco","Solteiro(A)",6.44,5.48,100,0,0,51,13,38,73.76,25.49,9,0,4,74.51,10,"Conclusão","Graduado"
799476,"Engenharia De Software","Noturno",2015,18,"Sim","Sisu","RS","Masculino","Pardo","Solteiro(A)",7.53,5.48,62.62,0,0,35,3,32,96.61,8.57,3,0,0,91.43,6,"Mudança de curso","Excluído"
799485,"Engenharia De Software","Noturno",2015,17,"Não","Sisu","Ampla Concorrência","Feminino","Pardo","Solteiro(A)",7.28,5.48,100,0,0,48,7,41,82.30,14.58,5,0,2,85.42,10,"Conclusão","Graduado"
799504,"Engenharia De Software","Noturno",2015,19,"Sim","Sisu","RS-PPI","Feminino","Preto","Solteiro(A)",8.69,5.48,10,3,0,5,0,5,94.06,0,0,0,0,100,1,"Excluído","Excluído"
799520,"Engenharia De Software","Noturno",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",7.67,5.48,100,0,0,47,2,45,93.12,4.26,2,0,0,95.74,10,"Conclusão","Graduado"
799543,"Engenharia De Software","Noturno",2015,17,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",6.03,5.48,96,0,0,57,17,40,83.50,29.82,15,0,2,70.18,13,"Ativo","Ativo"
799580,"Engenharia De Software","Noturno",2015,20,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",7.82,5.48,10,0,0,5,0,5,100.00,0,0,0,0,100,1,"Excluído","Excluído"
799980,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Pardo","Solteiro(A)",4.48,5.03,67.02,0,0,63,34,29,83.29,53.97,28,0,6,46.03,12,"Ativo","Ativo"
800027,"Ciência Da Computação","Integral",2015,20,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",6.91,5.03,94.14,0,0,54,13,41,83.75,24.07,12,0,1,75.93,12,"Ativo","Ativo"
800165,"Engenharia De Software","Noturno",2015,21,"Não","Sisu","Ampla Concorrência","Masculino","Pardo","Solteiro(A)",6.79,5.48,100,0,0,52,13,39,81.03,25,11,0,2,75,10,"Conclusão","Graduado"
800180,"Engenharia De Software","Noturno",2015,22,"Não","Sisu","Ampla Concorrência","Feminino","Branco","Solteiro(A)",9.63,5.48,14,1,0,6,0,6,95.98,0,0,0,0,100,2,"Mudança de curso","Excluído"
800232,"Engenharia De Software","Noturno",2015,18,"Não","Sisu","Ampla Concorrência","Feminino","Pardo","Solteiro(A)",8.51,5.48,100,0,0,46,0,46,95.59,0,0,0,0,100,8,"Conclusão","Graduado"
800238,"Sistemas De Informação","Noturno",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",6.17,5.32,72.53,0,0,46,14,32,90.25,30.43,12,1,1,69.57,10,"Ativo","Ativo"
800246,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Feminino","Pardo","Solteiro(A)",6.38,5.03,100,0,0,55,12,43,85.69,21.82,12,0,0,78.18,11,"Ativo","Ativo"
800260,"Engenharia De Software","Noturno",2015,19,"Sim","Sisu","Ampla Concorrência","Feminino","Não Informado","Solteiro(A)",7.7,5.48,100,0,0,47,5,42,84.66,10.64,5,0,0,89.36,9,"Conclusão","Graduado"
800266,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Outro",4.04,5.03,20.21,2,0,24,14,10,73.83,58.33,7,0,7,41.67,7,"Excluído","Excluído"
800269,"Sistemas De Informação","Noturno",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",0,5.32,0,0,0,5,5,0,35.00,100,1,0,4,0,1,"Excluído","Excluído"
800337,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",0,5.03,0,0,0,5,5,0,22.50,100,0,0,5,0,1,"Excluído","Excluído"
800339,"Ciência Da Computação","Integral",2015,19,"Sim","Sisu","RS-PPI","Masculino","Pardo","Solteiro(A)",7.16,5.03,100,0,0,53,8,45,90.83,15.09,8,0,0,84.91,11,"Ativo","Ativo"
800386,"Sistemas De Informação","Noturno",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",6.6,5.32,96.8,0,0,48,11,37,85.32,22.92,11,0,0,77.08,11,"Ativo","Ativo"
800390,"Sistemas De Informação","Noturno",2015,25,"Não","Sisu","Ampla Concorrência","Masculino","Não Informado","Solteiro(A)",0.14,5.32,0,0,0,5,5,0,23.13,100,0,0,5,0,1,"Excluído","Excluído"
800394,"Sistemas De Informação","Noturno",2015,21,"Sim","Sisu","RS","Masculino","Pardo","Solteiro(A)",7.32,5.32,98.33,1,0,48,6,42,85.95,12.5,5,0,1,87.5,10,"Ativo","Ativo"
800427,"Sistemas De Informação","Noturno",2015,29,"Sim","Sisu","RI","Feminino","Branco","Solteiro(A)",7.02,5.32,71.86,0,0,36,5,31,83.55,13.89,4,0,1,86.11,10,"Ativo","Ativo"
800436,"Ciência Da Computação","Integral",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",4.04,5.03,8.51,0,0,13,9,4,89.18,69.23,9,0,0,30.77,3,"Mudança de curso","Excluído"
800450,"Sistemas De Informação","Noturno",2015,28,"Sim","Sisu","RI-PPI","Masculino","Preto","Solteiro(A)",7.74,5.32,100,0,0,44,3,41,87.80,6.82,3,0,0,93.18,11,"Conclusão","Graduado"
800465,"Sistemas De Informação","Noturno",2015,44,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Divorciado/Separado(A)",2.72,5.32,26.66,5,0,7,5,2,81.60,71.43,2,0,3,28.57,2,"Excluído","Excluído"
800479,"Sistemas De Informação","Noturno",2015,25,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",0.28,5.32,0,0,0,46,46,0,26.97,100,3,0,43,0,10,"Ativo","Ativo"
800480,"Ciência Da Computação","Integral",2015,19,"Sim","Sisu","RS","Feminino","Branco","Solteiro(A)",1.58,5.03,0,1,0,5,5,0,71.88,100,3,0,2,0,1,"Excluído","Excluído"
800482,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",5.99,5.03,35.3,0,0,24,9,15,90.06,37.5,8,0,1,62.5,6,"Mudança de curso","Excluído"
800503,"Engenharia De Software","Noturno",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",6.34,5.48,80,0,0,52,11,41,83.47,21.15,5,0,6,78.85,12,"Ativo","Ativo"
800514,"Ciência Da Computação","Integral",2015,19,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",5.92,5.03,89.36,0,0,52,16,36,83.35,30.77,16,0,0,69.23,12,"Ativo","Ativo"
800537,"Sistemas De Informação","Noturno",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",6.6,5.32,57.6,0,0,32,7,25,86.35,21.88,6,0,1,78.13,7,"Mudança de curso","Excluído"
800549,"Engenharia De Software","Noturno",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",1.68,5.48,18,0,0,50,43,7,39.94,86,3,0,40,14,11,"Ativo","Ativo"
