id_discente;curso;turno;ano_ingresso;idade_ingresso;escola_publica;forma_ingresso;acao_afirmativa;sexo;cor_raca;estado_civil;media_global_aluno;media_global_curso;percentual_integralizado;trancamentos;mobilidade;total_componentes;total_reprovacao;total_aprovacao;percentagem_frequencia;percentagem_reprovacao;reprovacoes_rm;reprovacoes_rf;reprovacoes_rmf;percentagem_aprovacao;qtd_semestres;motivo_inativacao;status;faixa_etaria;acao_afirmativa_
781734;Sistemas De Informação;Noturno;2012;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);8.04;5.32;100.0;0;3.0;40;0;40;91.79;0.0;0;0;0;100.0;9;Conclusão;Graduado;Entre 19 e 21;0
781763;Sistemas De Informação;Noturno;2012;22;Sim;Processo Seletivo;RI;Feminino;Preto;Solteiro(A);0.0;5.32;0.0;0;0.0;5;5;0;86.88;100.0;4;0;1;0.0;1;Excluído;Excluído;Entre 21 e 24;1
781764;Sistemas De Informação;Noturno;2012;18;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);5.32;5.32;100.0;0;0.0;78;34;44;81.5;43.59;22;0;12;56.41;19;Conclusão;Graduado;Até 18;0
781780;Ciência Da Computação;Integral;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.03;0.0;0;0.0;0;0;0;0.0;0.0;0;0;0;0.0;0;Excluído;Excluído;Até 18;0
781791;Sistemas De Informação;Noturno;2012;19;Sim;Sisu;RI;Masculino;Preto;Solteiro(A);3.17;5.32;16.0;1;0.0;24;16;8;73.11;66.67;8;0;8;33.33;7;Excluído;Excluído;Entre 19 e 21;1
781872;Sistemas De Informação;Noturno;2012;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Branco;Solteiro(A);6.86;5.32;100.0;0;0.0;52;8;44;88.81;15.38;7;0;1;84.62;13;Conclusão;Graduado;Entre 19 e 21;0
781952;Sistemas De Informação;Noturno;2012;20;Não;Sisu;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);3.61;5.32;19.2;1;0.0;22;13;9;79.45;59.09;10;0;3;40.91;5;Excluído;Excluído;Entre 19 e 21;0
781958;Ciência Da Computação;Integral;2012;18;Não;Sisu;Ampla Concorrência;Feminino;Não Informado;Solteiro(A);6.19;5.03;100.0;0;0.0;58;12;46;82.36;20.69;8;0;4;79.31;12;Conclusão;Graduado;Até 18;0
782048;Ciência Da Computação;Integral;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);4.12;5.03;59.57;1;0.0;62;35;27;81.8;56.45;24;0;11;43.55;11;Excluído;Excluído;Até 18;0
782093;Ciência Da Computação;Integral;2012;21;Sim;Processo Seletivo;Ampla Concorrência;Feminino;Branco;Solteiro(A);6.83;5.03;100.0;0;0.0;50;9;41;92.46;18.0;9;0;0;82.0;10;Conclusão;Graduado;Entre 19 e 21;0
782100;Ciência Da Computação;Integral;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);4.74;5.03;97.87;0;0.0;82;40;42;79.53;48.78;29;0;11;51.22;19;Ativo;Ativo;Até 18;0
